"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: algo","Param: length"
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,52.745462,0.438137,"ns/op",adler32-jre,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,82.646949,0.690749,"ns/op",adler32-jre,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,205.148939,1.320605,"ns/op",adler32-jre,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,696.348290,4.225460,"ns/op",adler32-jre,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,2788.847869,404.399553,"ns/op",adler32-jre,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,5440.142258,22.988929,"ns/op",adler32-jre,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,10948.970317,34.089920,"ns/op",adler32-jre,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,12417.277712,2313.534643,"ns/op",gost-bc,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,23406.598338,140.591907,"ns/op",gost-bc,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,71319.207921,9606.379352,"ns/op",gost-bc,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,262319.827666,30083.333403,"ns/op",gost-bc,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,1075966.811909,176396.615610,"ns/op",gost-bc,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,1927451.472465,158145.026547,"ns/op",gost-bc,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,4267149.483874,493864.683791,"ns/op",gost-bc,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,8244.939818,1111.426491,"ns/op",md2-bc,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,19293.536113,41.338856,"ns/op",md2-bc,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,65572.288221,6042.181249,"ns/op",md2-bc,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,245030.408997,710.967147,"ns/op",md2-bc,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,5,1081200.392218,170246.243847,"ns/op",md2-bc,8192
